imbalance,class_sep,cost_ratio,n_samples,seed,cost_a,cost_b,cost_c,cost_d,brier_standard,brier_cost_weighted,threshold_tuning_helps,cost_weighting_helps,combining_beats_training_alone,best_config
0.02,3.0,100,50000,1,4247.0,4406.0,4459.0,4431.0,0.02092067680933878,0.05623519378544115,False,False,True,A
0.02,3.0,100,50000,2,6124.0,6114.0,6325.0,6395.0,0.02937196830159877,0.08479752449483176,True,False,False,B
0.08,0.5,10,5000,0,407.0,425.0,442.0,446.0,0.09586625661877327,0.0988932747120124,False,False,False,A
0.08,0.5,10,5000,1,439.0,430.0,465.0,424.0,0.09744700970108204,0.09204145208637247,True,False,True,D
0.08,0.5,10,5000,2,428.0,378.0,390.0,374.0,0.09011470518841037,0.08381207345906008,True,True,True,D
0.08,0.5,10,50000,0,2560.0,2594.0,2658.0,2681.0,0.11839132527804,0.11433157977280668,False,False,False,A
0.08,0.5,10,50000,1,3361.0,3433.0,3420.0,3380.0,0.1242007058373005,0.11455984135543024,False,False,True,A
0.08,0.5,10,50000,2,2794.0,2851.0,2743.0,2757.0,0.11841148652511647,0.11287476998340341,False,True,False,C
0.08,0.5,100,5000,0,3107.0,865.0,2400.0,1137.0,0.09586625661877327,0.21815536629657395,True,True,True,B
0.08,0.5,100,5000,1,3499.0,975.0,1319.0,888.0,0.09744700970108204,0.22540461101992929,True,True,True,D
0.08,0.5,100,5000,2,3578.0,801.0,1160.0,882.0,0.09011470518841037,0.23561858448708492,True,True,True,B
0.08,0.5,100,50000,0,13360.0,7530.0,7709.0,7543.0,0.11839132527804,0.38259431823760237,True,True,True,B
0.08,0.5,100,50000,1,23431.0,8011.0,8185.0,8029.0,0.1242007058373005,0.4662922019931873,True,True,True,B
0.08,0.5,100,50000,2,14044.0,7811.0,7179.0,7200.0,0.11841148652511647,0.39565589703760545,True,True,False,C
0.08,1.5,10,5000,0,115.0,104.0,74.0,72.0,0.02738447471261224,0.02627688143465815,True,True,True,D
0.08,1.5,10,5000,1,152.0,164.0,175.0,167.0,0.030121678004905193,0.030759497360992285,False,False,True,A
0.08,1.5,10,5000,2,130.0,136.0,139.0,150.0,0.025718087182281406,0.02543595976516394,False,False,False,A
0.08,1.5,10,50000,0,586.0,564.0,604.0,597.0,0.021544070353719847,0.020909997546486293,True,False,True,B
0.08,1.5,10,50000,1,1144.0,1247.0,1132.0,1123.0,0.03997059003012223,0.036183079400714024,False,True,True,D
0.08,1.5,10,50000,2,767.0,754.0,766.0,771.0,0.022159513990507362,0.0211405421987238,True,True,False,B
0.08,1.5,100,5000,0,925.0,314.0,391.0,495.0,0.02738447471261224,0.06968007980702402,True,True,False,B
0.08,1.5,100,5000,1,1322.0,722.0,1068.0,826.0,0.030121678004905193,0.05761027713469502,True,True,True,B
0.08,1.5,100,5000,2,1120.0,596.0,859.0,720.0,0.025718087182281406,0.0512163438641992,True,True,True,B
0.08,1.5,100,50000,0,4546.0,4828.0,5002.0,4168.0,0.021544070353719847,0.13524898369432686,False,False,True,D
0.08,1.5,100,50000,1,8074.0,6036.0,6059.0,5921.0,0.03997059003012223,0.18714918670158415,True,True,True,D
0.08,1.5,100,50000,2,6257.0,5771.0,6063.0,5554.0,0.022159513990507362,0.13885676388495413,True,True,True,D
0.08,3.0,10,5000,0,17.0,17.0,16.0,26.0,0.006235890399442708,0.006442144768879689,False,True,False,C
0.08,3.0,10,5000,1,80.0,110.0,101.0,81.0,0.007384201671209308,0.007766404323246313,False,False,True,A
0.08,3.0,10,5000,2,51.0,53.0,60.0,70.0,0.007270228371003268,0.006944221414299997,False,False,False,A
0.08,3.0,10,50000,0,400.0,433.0,398.0,405.0,0.007838321741691998,0.007166724796147034,False,True,False,C
0.08,3.0,10,50000,1,477.0,485.0,474.0,472.0,0.009290617280918987,0.00882536110761172,False,True,True,D
0.08,3.0,10,50000,2,555.0,568.0,561.0,570.0,0.00973181587965784,0.009580022044422586,False,False,False,A
0.08,3.0,100,5000,0,107.0,215.0,116.0,320.0,0.006235890399442708,0.017111018858890287,False,False,False,A
0.08,3.0,100,5000,1,800.0,418.0,407.0,261.0,0.007384201671209308,0.009254497070088668,True,True,True,D
0.08,3.0,100,5000,2,501.0,503.0,512.0,503.0,0.007270228371003268,0.015572707500042563,False,False,True,A
0.08,3.0,100,50000,0,3910.0,3991.0,4403.0,4410.0,0.007838321741691998,0.0786729224423566,False,False,False,A
0.08,3.0,100,50000,1,4437.0,4384.0,4460.0,4404.0,0.009290617280918987,0.06771888815808555,True,False,True,B
0.08,3.0,100,50000,2,5325.0,5281.0,5428.0,5337.0,0.00973181587965784,0.08840756546729422,True,False,True,B
